"STCode","CorrectId","CurrentDbId","IdChanged","LocationName"
"HO47","499","2611","Y","BHAWANI PATNA (ODISHA)"
"HX19","500","2717","Y","KISHTWAR"
"HL03","556","2814","Y","ANANAD(RAJPATH MARG)"
"U120","557","2778","Y","SULTANPUR"
"HW33","558","2588","Y","DOMKAL"
"HP18","559","2747","Y","PANCHKULA"
"HO48","560","2603","Y","SONEPUR (ODISHA)"
"HS07","561","2531","Y","ONGOLE"
"HW32","562","2590","Y","JAIGAON (WEST BENGAL)"
"HN61","563","2677","Y","KOHIMA"
"HX52","564","2568","Y","BARAMATI"
"HB66","567","2885","Y","KATIHAR"
"HC06","568","2796","Y","DHAMTARI"
"HD33","569","2683","Y","KHICHRIPUR"
"HK29","570","3028","Y","BEGUR- KOPPA ROAD"
"HL02","571","2819","Y","AATMAN-SURAT"
"HL04","572","2808","Y","NADIAD"
"HL05","573","2815","Y","PATAN"
"HL06","574","2813","Y","KSB TRIDENT SURAT"
"HL07","575","2810","Y","PALANPUR"
"HM43","576","3033","Y","KHANDWA"
"HM50","577","2920","Y","GUNA"
"HM51","578","2914","Y","ITARSI"
"HN50","579","2666","Y","SONARI"
"HO49","580","2612","Y","BALANGIR (ODISHA)"
"HP15","581","3040","Y","PATIALA-LEELA BHAWAN"
"HP20","583","2748","Y","FIROZPUR"
"HW28","584","3077","Y","DANKUNI (NEW)"
"HW34","585","2583","Y","NAIHATI"
"HW35","586","2575","Y","PURALIA"
"HY02","587","2972","Y","KARIMNAGAR (AZMATHPURA)"
"U119","588","2844","Y","JHANSI-1"
"U121","589","2848","Y","JHANSI -2"
"HP21","592","2730","Y","ALANDHAR-2"
"HP22","593","2736","Y","PATIALA"
"HD34","594","2688","Y","UTTAM-NAGAR"
"HW36","595","2584","Y","CHAKDAHA"
"HR29","596","2828","Y","UDAIPUR-CENTRAL"
"HB67","597","2933","Y","GOPALGANJ-2"
"HW37","598","2594","Y","DHUPGURI"
"HM52","599","2929","Y","RAJGARH"
"HF01","600","2635","Y","NAMCHI"
"HN62","601","2678","Y","CHUMOUKEDIMA"
"HM53","602","2923","Y","KHANDWA"
"HI08","603","2738","Y","POANTA (SIRMOUR)"
"HM54","606","2930","Y","PANDHNA"
"HX53","607","2571","Y","WAGHOLI"
"U122","608","2766","Y","SIDDHARTHNAGAR"
"U127","609","2842","Y","KANPUR"
"U125","610","2776","Y","FATEHPUR"
"HO51","611","2632","Y","ASIKA"
"HX20","612","2716","Y","KATHUA"
"HB68","613","2944","Y","PURNIA-2"
"HL09","614","2816","Y","VADODARA (KENDRANAGAR) WAGHODIA ROAD"
"HL10","615","2818","Y","NAVSARI"
"HL11","616","2811","Y","SURENDRANAGAR"
"HP23","617","2703","Y","BARNALA"
"U129","618","2799","Y","GHAZIABAD (RAJENDRA NAGAR)"
"U126","619","2770","Y","MAHARAJGANJ (ANAND NAGAR)"
"HC09","620","2798","Y","DURG"
"HL08","621","2807","Y","BARDOLI"
"HA13","622","2634","Y","ZIRO"
"HW42","623","2578","Y","DOMJUR(HOWRAH)"
"HC08","624","2797","Y","MUNGELI"
"U128","625","2804","Y","SAHARANPUR (CHIRUKI)"
"U124","626","2801","Y","MATHURA"
"HW44","627","2585","Y","RATUA (WEST BENGAL)"
"U123","628","2788","Y","GHAZIABAD (LAL KUAN)"
"HH22","629","2709","Y","PALWAL"
"U131","630","2843","Y","JHANSI (MISSION COMPOUND)"
"HN81","631","2655","Y","IMPHAL-AIRPORT RD"
"HC07","632","2783","Y","MAHASAMUND"
"HP24","633","2731","Y","FARIDKOT"
"HR30","634","2834","Y","KOTA (DADABARI)"
"HK31","635","2546","Y","RAMANAGARA"
"HW39","636","2587","Y","BOGULA"
"U130","637","2805","Y","MORADABAD"
"HS08","638","2533","Y","TADEPALLIGUDEM"
"HW38","639","2592","Y","BIRBHUM"
"HS09","640","2560","Y","NELLORE"
"HM56","641","2919","Y","MORENA"
"HY03","644","2975","Y","NACHARAM"
"VWW01","645","3088","Y","VISHAL WATER WORLD"
"HH23","647","2693","Y","PATAUDI"
"HB69","648","2940","Y","KISHANGANJ"
"HN82","649","2656","Y","SENAPATI"
"HZ01","650","2664","Y","AIZAWL"
"HN51","651","2673","Y","BIJOYNAGAR"
"HW43","652","2576","Y","AMTALA"
"HW41","653","2577","Y","TUFANGANJ"
"HC10","654","2803","Y","BALODA BAZAR-BHATAPARA"
"HW45","655","2586","Y","COOCHBEHAR"
"HO50","656","2624","Y","GUNPUR"
"U132","658","2802","Y","BULANSHAHAR"
"HP26","659","2745","Y","Malerkotla"
"HL13","660","2820","Y","PORBANDAR"
"HC11","661","2806","Y","BILASHPUR (USALAPUR)"
"HL14","662","2812","Y","HIMMATNAGAR OPTION 1"
"DU08","663","3002","Y","VARANASI-HUB-2"
"DB01","2433","2976","Y","PTN-RDC"
"DB03","2434","2977","Y","PATNA-HUB"
